var_base,table,worker_type,sex,row_number,occupation_label,occupation_level,is_median_earnings_row
S2412_C02_035,S2412,"Full-time, year-round",Male,035,Transportation occupations,Subtotal,True
S2412_C02_036,S2412,"Full-time, year-round",Male,036,Material moving occupations,Subtotal,True
S2412_C03_001,S2412,"Full-time, year-round",Female,001,"Full-time, year-round civilian employed population 16 years and over with earnings",Total,True
S2412_C03_002,S2412,"Full-time, year-round",Female,002,"Management, business, science, and arts occupations",Subtotal,True
S2412_C03_003,S2412,"Full-time, year-round",Female,003,"Management, business, and financial occupations",Subtotal,True
S2412_C03_004,S2412,"Full-time, year-round",Female,004,Management occupations,Detail,True
S2412_C03_005,S2412,"Full-time, year-round",Female,005,Business and financial operations occupations,Detail,True
S2412_C03_006,S2412,"Full-time, year-round",Female,006,"Computer, engineering, and science occupations",Subtotal,True
S2412_C03_007,S2412,"Full-time, year-round",Female,007,Computer and mathematical occupations,Detail,True
S2412_C03_008,S2412,"Full-time, year-round",Female,008,Architecture and engineering occupations,Detail,True
S2412_C03_009,S2412,"Full-time, year-round",Female,009,"Life, physical, and social science occupations",Detail,True
S2412_C03_010,S2412,"Full-time, year-round",Female,010,"Education, legal, community service, arts, and media occupations",Subtotal,True
S2412_C03_011,S2412,"Full-time, year-round",Female,011,Community and social service occupations,Detail,True
S2412_C03_012,S2412,"Full-time, year-round",Female,012,Legal occupations,Detail,True
S2412_C03_013,S2412,"Full-time, year-round",Female,013,"Educational instruction, and library occupations",Detail,True
S2412_C03_014,S2412,"Full-time, year-round",Female,014,"Arts, design, entertainment, sports, and media occupations",Detail,True
S2412_C03_015,S2412,"Full-time, year-round",Female,015,Healthcare practitioners and technical occupations,Subtotal,True
S2412_C03_016,S2412,"Full-time, year-round",Female,016,Health diagnosing and treating practitioners and other technical occupations,Detail,True
S2412_C03_017,S2412,"Full-time, year-round",Female,017,Health technologists and technicians,Detail,True
S2412_C03_018,S2412,"Full-time, year-round",Female,018,Service occupations,Subtotal,True
S2412_C03_019,S2412,"Full-time, year-round",Female,019,Healthcare support occupations,Subtotal,True
S2412_C03_020,S2412,"Full-time, year-round",Female,020,Protective service occupations,Subtotal,True
S2412_C03_021,S2412,"Full-time, year-round",Female,021,"Firefighting and prevention, and other protective service workers including supervisors",Detail,True
S2412_C03_022,S2412,"Full-time, year-round",Female,022,Law enforcement workers including supervisors,Detail,True
S2412_C03_023,S2412,"Full-time, year-round",Female,023,Food preparation and serving related occupations,Subtotal,True
S2412_C03_024,S2412,"Full-time, year-round",Female,024,Building and grounds cleaning and maintenance occupations,Subtotal,True
S2412_C03_025,S2412,"Full-time, year-round",Female,025,Personal care and service occupations,Subtotal,True
S2412_C03_026,S2412,"Full-time, year-round",Female,026,Sales and office occupations,Subtotal,True
S2412_C03_027,S2412,"Full-time, year-round",Female,027,Sales and related occupations,Subtotal,True
S2412_C03_028,S2412,"Full-time, year-round",Female,028,Office and administrative support occupations,Subtotal,True
S2412_C03_029,S2412,"Full-time, year-round",Female,029,"Natural resources, construction, and maintenance occupations",Subtotal,True
S2412_C03_030,S2412,"Full-time, year-round",Female,030,"Farming, fishing, and forestry occupations",Subtotal,True
S2412_C03_031,S2412,"Full-time, year-round",Female,031,Construction and extraction occupations,Subtotal,True
S2412_C03_032,S2412,"Full-time, year-round",Female,032,"Installation, maintenance, and repair occupations",Subtotal,True
S2412_C03_033,S2412,"Full-time, year-round",Female,033,"Production, transportation, and material moving occupations",Subtotal,True
S2412_C03_034,S2412,"Full-time, year-round",Female,034,Production occupations,Subtotal,True
S2412_C03_035,S2412,"Full-time, year-round",Female,035,Transportation occupations,Subtotal,True
S2412_C03_036,S2412,"Full-time, year-round",Female,036,Material moving occupations,Subtotal,True
S2412_C04_001,S2412,"Full-time, year-round",Female % of Male,001,"Full-time, year-round civilian employed population 16 years and over with earnings",Ratio,False
S2412_C04_002,S2412,"Full-time, year-round",Female % of Male,002,"Management, business, science, and arts occupations",Ratio,False
S2412_C04_003,S2412,"Full-time, year-round",Female % of Male,003,"Management, business, and financial occupations",Ratio,False
S2412_C04_004,S2412,"Full-time, year-round",Female % of Male,004,Management occupations,Ratio,False
S2412_C04_005,S2412,"Full-time, year-round",Female % of Male,005,Business and financial operations occupations,Ratio,False
S2412_C04_006,S2412,"Full-time, year-round",Female % of Male,006,"Computer, engineering, and science occupations",Ratio,False
S2412_C04_007,S2412,"Full-time, year-round",Female % of Male,007,Computer and mathematical occupations,Ratio,False
S2412_C04_008,S2412,"Full-time, year-round",Female % of Male,008,Architecture and engineering occupations,Ratio,False
S2412_C04_009,S2412,"Full-time, year-round",Female % of Male,009,"Life, physical, and social science occupations",Ratio,False
S2412_C04_010,S2412,"Full-time, year-round",Female % of Male,010,"Education, legal, community service, arts, and media occupations",Ratio,False
S2412_C04_011,S2412,"Full-time, year-round",Female % of Male,011,Community and social service occupations,Ratio,False
S2412_C04_012,S2412,"Full-time, year-round",Female % of Male,012,Legal occupations,Ratio,False
S2412_C04_013,S2412,"Full-time, year-round",Female % of Male,013,"Educational instruction, and library occupations",Ratio,False
S2412_C04_014,S2412,"Full-time, year-round",Female % of Male,014,"Arts, design, entertainment, sports, and media occupations",Ratio,False
S2412_C04_015,S2412,"Full-time, year-round",Female % of Male,015,Healthcare practitioners and technical occupations,Ratio,False
S2412_C04_016,S2412,"Full-time, year-round",Female % of Male,016,Health diagnosing and treating practitioners and other technical occupations,Ratio,False
S2412_C04_017,S2412,"Full-time, year-round",Female % of Male,017,Health technologists and technicians,Ratio,False
S2412_C04_018,S2412,"Full-time, year-round",Female % of Male,018,Service occupations,Ratio,False
S2412_C04_019,S2412,"Full-time, year-round",Female % of Male,019,Healthcare support occupations,Ratio,False
S2412_C04_020,S2412,"Full-time, year-round",Female % of Male,020,Protective service occupations,Ratio,False
S2412_C04_021,S2412,"Full-time, year-round",Female % of Male,021,"Firefighting and prevention, and other protective service workers including supervisors",Ratio,False
S2412_C04_022,S2412,"Full-time, year-round",Female % of Male,022,Law enforcement workers including supervisors,Ratio,False
S2412_C04_023,S2412,"Full-time, year-round",Female % of Male,023,Food preparation and serving related occupations,Ratio,False
S2412_C04_024,S2412,"Full-time, year-round",Female % of Male,024,Building and grounds cleaning and maintenance occupations,Ratio,False
S2412_C04_025,S2412,"Full-time, year-round",Female % of Male,025,Personal care and service occupations,Ratio,False
S2412_C04_026,S2412,"Full-time, year-round",Female % of Male,026,Sales and office occupations,Ratio,False
S2412_C04_027,S2412,"Full-time, year-round",Female % of Male,027,Sales and related occupations,Ratio,False
S2412_C04_028,S2412,"Full-time, year-round",Female % of Male,028,Office and administrative support occupations,Ratio,False
S2412_C04_029,S2412,"Full-time, year-round",Female % of Male,029,"Natural resources, construction, and maintenance occupations",Ratio,False
S2412_C04_030,S2412,"Full-time, year-round",Female % of Male,030,"Farming, fishing, and forestry occupations",Ratio,False
S2412_C04_031,S2412,"Full-time, year-round",Female % of Male,031,Construction and extraction occupations,Ratio,False
S2412_C04_032,S2412,"Full-time, year-round",Female % of Male,032,"Installation, maintenance, and repair occupations",Ratio,False
S2412_C04_033,S2412,"Full-time, year-round",Female % of Male,033,"Production, transportation, and material moving occupations",Ratio,False
S2412_C04_034,S2412,"Full-time, year-round",Female % of Male,034,Production occupations,Ratio,False
S2412_C04_035,S2412,"Full-time, year-round",Female % of Male,035,Transportation occupations,Ratio,False
S2412_C04_036,S2412,"Full-time, year-round",Female % of Male,036,Material moving occupations,Ratio,False
